Key,Value
264061,-2.00
143901,-3.07
210331,-3.87
435821,-4.30
13431,-21.18
59071,-6.98
223501,-2.00
288001,-6.00
332231,-17.59
26511,-0.75
215541,-4.00
343721,-3.55
68831,-3.10
93011,-2.00
189911,-7.50
219491,-2.30
277411,-79.00
441281,-2.78
33961,-5.90
138491,-5.30
21361,2.50
146101,-1.99
182401,-4.00
9511,-10.30
18971,40.00
360341,-7.80
65001,-11.28
126781,-3.45
156121,-5.77
271411,-2.00
434001,-1.89
15931,-11.57
69601,-7.99
239951,3447.51
450441,-8.00
1361,-16.96
123651,-7.19
297261,-8.95
327341,-11.54
7701,-2.85
218171,-11.20
61,-4.80
1711,40.00
148301,-35.09
259741,-4.86
294161,-7.99
51491,-100.00
60521,-2.00
82531,-2.00
367091,-4.74
446771,-1.58
1471,-5.07
172511,-5.75
200071,-5.00
207741,96.00
96601,-60.00
103081,-4.00
224861,-4.59
111,-12.00
20541,-8.45
1151,-6.40
14831,147.95
385961,-2.49
164151,-1.99
353671,38.95
147201,-4.40
417711,-49.99
421311,-4.65
38361,-16.89
41211,-7.74
228941,-6.49
328971,-9.95
4291,-1.99
59791,-5.15
248351,-2.00
423111,-33.15
38931,-1.55
108761,40.00
134191,-50.00
137411,-32.02
17071,-2.00
22181,-147.00
50841,-68.50
139571,-3.40
335501,-12.96
1051,-8.95
16691,-4.50
41781,-10.00
348691,-2.00
85051,-14.00
188651,-2.00
403451,-2.00
12101,-14.00
13091,-5.00
161831,-6.48
242731,-1.65
269921,-16.55
40071,-8.48
149401,40.00
428541,-4.17
227581,-4.85
251181,-2.00
350351,-25.75
5891,-2.00
230311,-36.30
317711,-5.59
451,-8.29
166511,-11.39
206451,-2.15
34501,-6.15
49551,-12.45
112621,-8.85
181161,-4.99
256881,-2.00
201,-4.87
121601,-6.00
352011,-9.20
356991,-38.95
27431,-3.38
165331,-4.45
384231,-3.86
6891,-264.00
414121,69.96
66521,24.00
191181,-9.10
314531,40.00
7151,-18.07
52801,110.00
275901,-3.75
9831,13.55
23861,-10.14
231681,-3.75
419511,-6.00
424911,40.00
1591,-2.90
90341,-5.22
454121,-12.75
26971,40.00
158391,-5.25
77581,-6.69
31301,33.00
89451,-5.00
382501,-9.75
2231,-9.91
238561,40.00
78401,-1.80
167701,-2.00
437641,-6.00
81701,-2.00
222141,-9.99
21771,-11.04
289541,12.36
415911,-1.95
29791,-22.80
45861,-5.04
2511,-2.40
3491,-3.05
3671,40.00
281,40.00
1841,-2.00
52141,-0.58
61991,20.00
113601,-4.90
234421,-21.78
265511,40.00
851,5.00
56911,-2.00
373901,366.66
129931,-12.02
196261,-6.53
83361,-2.98
111641,-21.93
389421,-2.00
4081,-6.00
43521,-2.35
154991,-4.30
272901,-2.00
308211,3.00
430361,-8.95
65761,48.00
124691,-4.70
186141,-16.00
311371,100.00
37241,-3.87
97511,54.00
410561,-69.96
241,-18.24
14471,-4.85
79221,-5.81
145001,-1.50
173741,-8.96
291081,-2.00
337141,-2.00
342071,-7.99
6141,-427.81
23021,3.05
368791,-47.40
439461,-1.90
80041,-5.90
266971,-2.00
300381,-1.80
8291,-6.00
11441,-7.00
92121,-17.79
162991,40.00
262611,-7.90
394641,-3.38
3871,-17.95
15551,-2.00
220811,-5.00
11111,3.50
201341,-4.00
340421,300.00
426721,-5.70
19751,73.00
130991,30.00
101211,-20.85
171291,-0.85
28361,-489.56
53471,-6.00
183641,-15.13
104961,-1.10
150511,-47.40
345371,40.00
25171,-1.15
324111,-2.00
358661,-6.33
391,-0.85
3311,-305.72
292621,-6.00
365401,-12.77
380771,-3.49
157251,-7.96
281941,40.00
115581,-7.99
192451,-1.50
252601,-2.00
325721,-2.90
5641,550.00
71141,-1.00
1,-2.14
67291,-2.00
84201,-17.59
316121,-7.30
2651,-9.15
46461,-1.22
135261,-1.30
226221,50.00
261171,12.00
10151,40.00
42941,-4.62
94791,-8.00
128881,-4.00
141731,-2.00
20951,-9.72
30281,-8.83
198801,-5.00
22601,-3.98
114591,-18.00
106841,-3.77
116581,-2.00
274401,-6.50
283451,-3.87
347031,-57.00
372191,-2.00
68061,-2.00
86781,40.00
408781,-2.25
452281,-10.00
254021,-1.30
278921,-2.00
258311,-0.90
398151,-14.46
10471,-13.59
74311,-20.00
105901,16.90
301941,-2.00
444941,-9.10
48281,13.11
88561,-2.98
15191,-2.00
85911,-3.90
109721,-3.99
159531,-4.85
194991,-2.00
320901,-22.00
171,-2.82
7411,40.00
379041,40.00
168891,-0.80
211631,-2.00
309791,-12.70
322501,-10.67
81,-18.20
35591,-13.14
57631,-1.45
407001,-13.60
671,-6.12
47061,-18.17
17451,-8.24
392901,-19.38
117581,-1.58
233051,-4.85
179921,-2.00
214231,-13.07
396391,-1.95
511,-30.48
63491,-2.80
412341,-100.00
120581,-9.58
174971,-1.00
18211,-1.99
25611,-18.89
36691,-23.08
193721,-1.98
2971,-47.40
10791,11.00
54811,40.00
61251,-2.00
209031,-11.50
19361,-3.90
50191,10.00
27891,88.00
75941,-5.19
203891,-2.00
255451,-2.00
4951,38.00
18591,-10.35
140651,-2.00
399911,-3.75
71921,-49.87
73511,-2091.00
17831,-8.10
35041,-2.00
58351,-10.40
295701,-3.50
7991,-22.30
24731,-2.50
6641,-3.50
33421,-6.15
160671,-5.00
235801,-70.84
401681,-3.05
761,-8.85
3141,-8.84
212931,40.00
298821,-14.00
355331,-27.99
32881,-2.99
48911,-10.97
102141,-2.00
362021,-2.00
370491,-2.00
246941,-2.00
284961,-3.00
152741,-2.00
377321,-4.64
9201,-4.29
122621,40.00
244131,-47.40
375611,-10.55
42361,-10.09
104021,-3.49
24291,-3.59
286481,-4.17
44681,-2.21
178681,-17.99
280431,-69.95
2371,-3.05
44101,-2.15
216851,-2.40
249761,-16.69
306641,-53.95
391161,-2091.00
76761,-2.00
245531,-5.09
20141,-3.00
23441,-1.55
132051,-9.45
241341,-28.90
333861,-9.99
141,-5.96
8891,-3.34
31821,-11.62
40641,-8.48
127831,-1.25
100281,12.60
118581,-1.10
237181,-10.00
107801,-14.99
133121,737.30
12761,-2.50
32351,40.00
202611,-24.00
432181,-4.50
1971,-5.50
12431,-7.00
443111,-3.60
29311,-47.40
305071,27.00
363711,17.59
26051,-21.79
119581,-2.00
125731,-8.99
331,-1.67
4511,-3.50
170081,-1.00
303501,-11.47
72711,100.00
93901,-149.50
5401,-10.10
95691,-2.00
11,13.10
205171,-5.00
177441,11.64
184891,-7.15
197531,-2.00
36141,-5.50
99351,-14.55
28831,-1.75
37801,-0.68
98431,-7.95
330601,-5.00
2801,48.00
54141,-2.00
56201,-6.99
5171,-6.95
47661,40.00
338781,-2.00
110681,-2.98
142811,35.00
55501,-27.72
62741,-2.00
151621,-3.75
6391,148.00
39501,-0.01
91231,-2.00
153861,-14.99
176201,-9.18
187391,-1.00
405221,-2.00
4731,-38.14
70371,-2.00
448601,-3.39
21,-1.64
312951,79.00
30791,130.00
136331,-2.00
13771,-3.57
14121,-23.81
64241,40.00
951,-9.72
8591,-1.99
45271,-30.00
87671,-2.00
387691,-1.19
2101,-6.25
16311,-3.10
75121,-10.00
319301,-11.90
80871,-2.00
41,-1.70
11771,-5.00
268441,-0.70
581,-8.15
1251,-2.78
